1499334269632	geckodriver	INFO	Listening on 127.0.0.1:22240
1499334271678	geckodriver::marionette	INFO	Starting browser D:\Program Files (x86)\Mozilla Firefox\firefox.exe with args ["-marionette"]
1499334272010	addons.manager	DEBUG	Application has been upgraded
1499334272175	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/addons/XPIProvider.jsm: ["XPIProvider"]
1499334272179	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/LightweightThemeManager.jsm: ["LightweightThemeManager"]
1499334272187	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/addons/GMPProvider.jsm
1499334272191	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/addons/PluginProvider.jsm
1499334272192	addons.manager	DEBUG	Starting provider: XPIProvider
1499334272193	addons.xpi	DEBUG	startup
1499334272194	addons.xpi	INFO	Removing all system add-on upgrades.
1499334272195	addons.xpi	INFO	SystemAddonInstallLocation directory is missing
1499334272196	addons.xpi	INFO	Mapping aushelper@mozilla.org to D:\Program Files (x86)\Mozilla Firefox\browser\features\aushelper@mozilla.org.xpi
1499334272197	addons.xpi	INFO	Mapping e10srollout@mozilla.org to D:\Program Files (x86)\Mozilla Firefox\browser\features\e10srollout@mozilla.org.xpi
1499334272198	addons.xpi	INFO	Mapping firefox@getpocket.com to D:\Program Files (x86)\Mozilla Firefox\browser\features\firefox@getpocket.com.xpi
1499334272198	addons.xpi	INFO	Mapping screenshots@mozilla.org to D:\Program Files (x86)\Mozilla Firefox\browser\features\screenshots@mozilla.org.xpi
1499334272199	addons.xpi	INFO	Mapping webcompat@mozilla.org to D:\Program Files (x86)\Mozilla Firefox\browser\features\webcompat@mozilla.org.xpi
1499334272200	addons.xpi	INFO	Mapping {972ce4c6-7e08-4474-a285-3208198ce6fd} to D:\Program Files (x86)\Mozilla Firefox\browser\extensions\{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi
1499334272201	addons.xpi	DEBUG	checkForChanges
1499334272201	addons.xpi	INFO	SystemAddonInstallLocation directory is missing
1499334272202	addons.xpi	DEBUG	Loaded add-on state from prefs: {}
1499334272203	addons.xpi	DEBUG	New add-on aushelper@mozilla.org in app-system-defaults
1499334272205	addons.xpi	DEBUG	getModTime: Recursive scan of aushelper@mozilla.org
1499334272206	addons.xpi	DEBUG	New add-on e10srollout@mozilla.org in app-system-defaults
1499334272207	addons.xpi	DEBUG	getModTime: Recursive scan of e10srollout@mozilla.org
1499334272208	addons.xpi	DEBUG	New add-on firefox@getpocket.com in app-system-defaults
1499334272209	addons.xpi	DEBUG	getModTime: Recursive scan of firefox@getpocket.com
1499334272209	addons.xpi	DEBUG	New add-on screenshots@mozilla.org in app-system-defaults
1499334272210	addons.xpi	DEBUG	getModTime: Recursive scan of screenshots@mozilla.org
1499334272210	addons.xpi	DEBUG	New add-on webcompat@mozilla.org in app-system-defaults
1499334272211	addons.xpi	DEBUG	getModTime: Recursive scan of webcompat@mozilla.org
1499334272212	addons.xpi	DEBUG	New add-on {972ce4c6-7e08-4474-a285-3208198ce6fd} in app-global
1499334272212	addons.xpi	DEBUG	getModTime: Recursive scan of {972ce4c6-7e08-4474-a285-3208198ce6fd}
